Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Income statistics in 2020 for one-person private households - 25% sample data,"$385,530","$7,785","$11,105","$24,520","$19,625","$12,850","$11,095","$8,280","$14,090","$14,995","$42,205","$24,065","$25,500","$37,570","$16,025","$11,845","$11,695","$12,555","$15,970","$14,595","$11,655","$10,070","$9,200","$4,420","$8,655","$5,160"
  Average total income of one-person households in 2020 ($),"$63,850","$45,000","$64,600","$67,500","$59,200","$42,400","$51,160","$38,760","$67,900","$56,350","$86,200","$83,700","$79,200","$61,250","$61,200","$83,200","$57,400","$60,150","$63,050","$56,850","$46,880","$45,440","$45,840","$47,160","$44,360","$52,200"
  Median total income of one-person households in 2020 ($),"$45,200","$35,200","$51,200","$51,600","$44,800","$32,000","$37,200","$29,200","$46,000","$41,200","$69,000","$48,800","$52,400","$42,800","$41,600","$54,400","$45,200","$48,000","$47,600","$41,200","$35,200","$37,200","$33,600","$35,600","$33,600","$40,800"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",557970,17340,14780,28260,27835,23370,20735,19605,21395,22025,46885,30420,35680,48300,20855,19215,21340,19795,21210,20190,19170,17520,12975,6085,16320,6665
  Average monthly shelter costs for rented dwellings ($),1562,"$1,328","$1,574","$1,592","$1,492","$1,196","$1,448","$1,261","$1,588","$1,552","$1,988","$1,976","$1,768","$1,520","$1,424","$1,716","$1,492","$1,754","$1,880","$1,370","$1,196","$1,338","$1,358","$1,408","$1,197","$1,362"
  % of tenant households spending 30% or more of its income on shelter costs,0.4,34%,39%,41%,40%,35%,36%,33%,38%,41%,44%,49%,45%,43%,38%,41%,39%,44%,49%,39%,32%,36%,36%,33%,32%,33%
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",602915,20790,30560,37305,21610,21685,20535,18070,24515,23645,33845,23080,22430,20665,25380,20820,16945,25990,29340,25515,22735,23045,25370,23465,19925,25650
  Average monthly shelter costs for owned dwellings ($),"$2,038","$1,664","$1,930","$2,108","$2,280","$1,660","$1,918","$1,622","$2,418","$1,910","$2,290","$2,592","$2,492","$2,172","$2,138","$2,968","$1,846","$1,904","$2,202","$2,168","$1,872","$1,668","$1,640","$1,636","$1,776","$1,802"
  % of owner households spending 30% or more of its income on shelter costs,26%,24%,19%,25%,20%,22%,25%,24%,20%,22%,35%,30%,25%,35%,18%,22%,26%,31%,38%,18%,23%,26%,32%,29%,25%,21%
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Low-income status in 2020 for the population in private households to whom low-income concepts are applicable - 25% sample data,2761285,115120,117200,139915,104715,115675,107355,111200,114820,104735,135400,102385,114100,116930,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
"In low income based on the Low-income measure, after-tax (LIM-AT)",364040,14870,9215,15385,12510,17060,12350,16795,11650,11355,19100,15640,14305,26000,12000,12725,13620,16210,20895,12870,15350,14790,15265,11130,15060,7885
  0 to 17 years,67165,4370,2130,2245,1680,4125,2245,4530,2335,1610,1695,1225,1750,2780,1645,3345,3365,2735,2815,2515,3695,3560,2510,2135,4090,2030
  18 to 64 years,219535,8025,4695,9460,7965,9350,6585,9235,6595,7135,14965,11900,9015,19460,6960,7275,7170,9840,13735,7785,8645,8170,7675,5725,8065,4110
  65 years and over,77345,2470,2395,3675,2865,3590,3520,3030,2715,2605,2440,2515,3540,3760,3395,2105,3090,3635,4355,2565,3015,3065,5080,3265,2910,1750
"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",13%,13%,8%,11%,12%,15%,12%,15%,10%,11%,14%,15%,13%,22%,12%,13%,14%,14%,18%,12%,14%,13%,15%,12%,15%,8%
,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Total income groups in 2020 for the population aged 15 years and over in private households - 25% sample data,2377945,96625,99900,121460,89695,97205,91800,92435,95710,91635,126130,93395,100640,107625,88375,83725,79750,98430,103695,89815,91965,94590,90395,80930,85580,86450
  Without total income,109225,5280,3785,4185,3320,5050,3890,5740,4135,3360,4325,3410,3595,4395,2980,4470,3975,5020,6070,3995,4845,5240,4560,4310,5110,4180
  With total income,2268720,91340,96115,117275,86380,92155,87915,86690,91575,88275,121805,89985,97045,103230,85390,79260,75775,93410,97625,85815,87125,89350,85830,76620,80475,82270
"    Under $10,000 (including loss)",211940,9150,8065,8535,6890,7885,7960,8965,8595,6815,8715,8765,7895,9895,6660,8680,7340,10780,12495,7165,8100,8965,9580,8410,7880,7775
"    $10,000 to $19,999",278160,13965,10465,11720,8935,12940,11115,13025,9580,10275,10230,8945,8575,12045,9780,8250,10015,12095,12795,9880,11990,12075,13255,12885,12200,11135
"    $20,000 to $29,999",383770,18750,14690,16945,12510,18345,16430,19310,13945,15220,14050,12665,13040,17125,13505,10555,13565,15705,15655,13265,16560,17525,18060,16380,15810,14170
"    $30,000 to $39,999",279875,13890,10705,12760,9740,13650,12225,13435,9835,11390,10755,9320,9975,11980,8990,7765,10075,11050,11105,9355,11800,13975,11915,11335,11845,11005
"    $40,000 to $49,999",222750,10745,8760,11220,7730,10820,10300,10845,8435,8840,9520,7300,8925,9220,6920,5945,7905,8860,8460,7615,8985,10310,8845,8290,9250,8720
"    $50,000 to $59,999",176220,7880,8150,9010,6175,8055,7715,7595,6580,6735,9095,5975,7475,7410,5780,4785,6300,7150,6720,6100,7100,7730,6685,5770,6955,7290
"    $60,000 to $69,999",137275,5275,6225,8290,5450,5610,5365,4785,5205,5830,8790,5090,6510,6200,4530,4120,4505,5610,5485,5010,5305,5665,4445,3910,4585,5475
"    $70,000 to $79,999",111795,3665,5290,6970,4540,4065,3925,3065,4250,4895,8425,4850,5310,5515,4260,3540,3705,4700,4460,4395,4095,3810,3430,2950,3475,4200
"    $80,000 to $89,999",90025,2585,4285,5970,3760,3220,3115,2030,3175,3940,7620,3790,4555,4925,3820,3060,2840,4020,3870,3615,3160,2835,2515,1990,2315,3000
"    $90,000 to $99,999",73170,1695,3430,4935,3345,2120,2240,1245,2930,3280,6450,3215,3875,3790,3560,2760,2145,3235,3325,3375,2380,2110,1950,1490,1705,2590
"    $100,000 and over",303740,3740,16045,20920,17300,5455,7530,2395,19045,11070,28155,20085,20910,15115,17585,19800,7380,10200,13255,16045,7645,4345,5150,3220,4440,6910
"      $100,000 to $149,999",175210,2870,9385,12205,9165,4305,4745,1980,8065,7270,16920,8790,9765,9200,9670,7890,4760,7020,8495,8990,5220,3570,3780,2605,3445,5100
"      $150,000 and over",128530,875,6665,8715,8140,1150,2785,420,10980,3800,11230,11290,11150,5920,7915,11910,2625,3175,4755,7055,2425,770,1370,620,1000,1810
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,2268720,91340,96115,117275,86380,92155,87915,86690,91575,88275,121805,89985,97045,103230,85390,79260,75775,93410,97625,85815,87125,89350,85830,76620,80475,82270
    Average total income in 2020 among recipients ($),"$62,050","$39,760","$69,200","$71,100","$72,800","$43,360","$50,440","$37,240","$88,500","$55,550","$78,400","$103,900","$96,000","$59,750","$70,800","$113,600","$50,680","$50,880","$55,050","$69,500","$49,160","$41,560","$41,560","$38,560","$41,760","$47,840"
    Median total income in 2020 among recipients ($),"$39,200","$32,400","$44,400","$47,600","$46,800","$34,800","$36,400","$31,400","$44,400","$40,400","$58,400","$47,200","$50,000","$40,400","$45,200","$47,200","$36,400","$37,200","$36,800","$44,000","$35,600","$33,600","$31,600","$30,400","$33,200","$37,200"
,,,,,,,,,,,,,,,,,,,,,,,,,,
      Average total income for Men+ in 2020 among recipients ($),"$71,900","$42,240","$82,300","$82,900","$83,400","$46,800","$56,700","$39,520","$114,300","$60,050","$90,600","$134,200","$122,400","$65,900","$79,100","$150,800","$55,350","$55,600","$62,250","$79,800","$53,350","$44,080","$44,440","$41,120","$44,880","$51,650"
      Median total income Men+ in 2020 among recipients ($),"$42,000","$34,000","$49,600","$52,000","$49,200","$36,800","$39,600","$32,800","$49,200","$44,000","$65,500","$52,000","$55,200","$43,200","$47,200","$53,600","$38,000","$40,000","$39,200","$46,800","$36,400","$35,200","$32,400","$31,200","$34,800","$38,400"
,,,,,,,,,,,,,,,,,,,,,,,,,,
      Average total income for Women+ in 2020 among recipients ($),"$53,000","$37,360","$57,500","$60,250","$63,150","$40,320","$44,960","$35,240","$66,700","$51,250","$66,300","$75,900","$73,800","$52,950","$63,050","$80,200","$46,640","$46,760","$48,680","$60,100","$45,160","$39,240","$39,040","$36,240","$38,880","$44,320"
      Median total income for Women+ in 2020 among recipients ($),"$37,200","$31,200","$40,800","$44,400","$44,400","$33,200","$34,400","$30,400","$40,800","$37,600","$52,400","$43,600","$47,200","$38,000","$43,200","$42,400","$35,200","$35,200","$34,800","$42,000","$34,800","$32,800","$30,800","$29,800","$32,000","$36,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender: Total,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total income %,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
  Market income %,85%,71%,86%,88%,88%,73%,79%,67%,90%,83%,92%,93%,91%,86%,88%,93%,79%,82%,85%,87%,77%,73%,73%,71%,73%,78%
    Employment income %,70%,62%,66%,73%,76%,64%,67%,60%,69%,75%,84%,69%,69%,76%,77%,67%,64%,65%,69%,75%,66%,64%,59%,60%,62%,66%
"      Wages, salaries and commissions %",64%,60%,61%,68%,69%,61%,62%,58%,61%,69%,79%,62%,61%,71%,70%,60%,60%,61%,64%,70%,63%,61%,57%,58%,59%,64%
      Net self-employment income %,5%,2%,5%,5%,7%,3%,5%,2%,9%,6%,5%,7%,7%,5%,7%,7%,4%,4%,5%,5%,3%,2%,3%,2%,2%,2%
    Investment income %,7%,2%,10%,7%,6%,2%,6%,2%,13%,4%,5%,14%,14%,4%,5%,17%,6%,7%,8%,4%,4%,2%,5%,3%,2%,3%
    Private retirement income %,5%,5%,8%,6%,5%,4%,4%,3%,5%,3%,2%,5%,6%,3%,4%,5%,7%,7%,5%,5%,5%,5%,7%,5%,7%,7%
    Market income not included elsewhere %,3%,2%,3%,2%,2%,2%,2%,2%,3%,2%,2%,4%,3%,3%,2%,3%,2%,3%,3%,2%,2%,2%,2%,2%,2%,2%
  Government transfers %,16%,29%,14%,12%,12%,27%,21%,33%,10%,17%,8%,7%,9%,14%,12%,7%,21%,18%,15%,13%,23%,27%,27%,29%,28%,22%
    Canada Pension Plan (CPP) and QuÚbec Pension Plan (QPP) benefits %,3%,4%,3%,2%,2%,4%,4%,5%,2%,3%,1%,1%,2%,2%,2%,1%,4%,4%,3%,2%,3%,4%,6%,6%,5%,4%
    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS) %,3%,4%,3%,3%,2%,4%,3%,4%,2%,2%,1%,2%,2%,2%,2%,2%,4%,3%,2%,2%,3%,4%,4%,4%,4%,4%
    Employment Insurance (EI) benefits %,1%,2%,1%,1%,1%,2%,1%,2%,1%,1%,1%,0%,1%,1%,1%,0%,1%,1%,1%,1%,2%,2%,1%,2%,2%,1%
    Child benefits $,1%,4%,1%,1%,1%,3%,2%,4%,1%,1%,0%,0%,0%,1%,1%,1%,2%,1%,1%,1%,2%,3%,2%,3%,3%,2%
    Other government transfers %,8%,16%,6%,6%,6%,14%,11%,18%,5%,9%,5%,4%,4%,9%,6%,4%,11%,9%,8%,7%,12%,14%,13%,15%,15%,11%
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender:   Men +,,,,,,,,,,,,,,,,,,,,,,,,,,
Total income %,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
  Market income %,88%,76%,90%,91%,91%,78%,84%,73%,93%,86%,94%,95%,94%,88%,90%,95%,83%,85%,88%,90%,82%,78%,78%,76%,78%,82%
    Employment income %,74%,67%,70%,76%,79%,70%,72%,67%,74%,77%,86%,72%,72%,78%,79%,72%,69%,70%,73%,79%,70%,69%,65%,66%,67%,70%
"      Wages, salaries and commissions %",68%,64%,64%,70%,72%,66%,67%,64%,64%,71%,81%,66%,65%,73%,72%,65%,64%,65%,68%,74%,67%,66%,62%,63%,64%,68%
      Net self-employment income %,6%,3%,6%,6%,7%,4%,5%,3%,10%,6%,5%,7%,7%,5%,7%,7%,5%,5%,5%,5%,4%,3%,4%,3%,3%,2%
    Investment income %,8%,2%,10%,7%,6%,2%,6%,2%,13%,5%,5%,14%,15%,4%,6%,16%,6%,6%,8%,4%,4%,2%,4%,3%,2%,3%
    Private retirement income %,5%,5%,7%,5%,5%,4%,4%,3%,4%,3%,2%,5%,5%,3%,4%,5%,6%,7%,5%,5%,5%,5%,7%,5%,6%,7%
    Market income not included elsewhere %,2%,2%,3%,2%,2%,2%,2%,2%,3%,1%,2%,4%,2%,3%,2%,3%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%
  Government transfers %,12%,24%,10%,9%,9%,22%,16%,27%,7%,14%,6%,5%,6%,12%,10%,5%,17%,15%,12%,10%,18%,22%,22%,24%,22%,18%
    Canada Pension Plan (CPP) and QuÚbec Pension Plan (QPP) benefits %,2%,4%,2%,2%,1%,3%,3%,4%,1%,2%,1%,1%,1%,2%,2%,1%,3%,3%,2%,2%,3%,4%,5%,5%,4%,3%
    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS) %,2%,4%,3%,2%,2%,4%,3%,4%,2%,2%,1%,1%,2%,1%,2%,1%,3%,3%,2%,2%,3%,3%,4%,3%,3%,4%
    Employment Insurance (EI) benefits %,1%,2%,1%,1%,1%,2%,1%,2%,0%,1%,1%,0%,0%,1%,1%,0%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
    Child benefits $,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
    Other government transfers %,7%,15%,5%,5%,6%,13%,9%,17%,4%,9%,4%,3%,3%,8%,6%,3%,10%,9%,7%,6%,11%,14%,13%,14%,14%,10%
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender:   Women +,,,,,,,,,,,,,,,,,,,,,,,,,,
Total income %,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
  Market income %,80%,65%,81%,84%,85%,67%,74%,60%,85%,81%,90%,89%,88%,83%,85%,89%,75%,78%,81%,83%,73%,69%,69%,66%,67%,73%
    Employment income %,65%,56%,61%,68%,72%,58%,60%,54%,63%,72%,82%,64%,64%,73%,74%,59%,59%,59%,64%,71%,61%,58%,54%,55%,56%,61%
"      Wages, salaries and commissions %",60%,55%,57%,65%,66%,56%,57%,53%,56%,67%,78%,56%,57%,68%,68%,52%,56%,56%,60%,65%,59%,57%,52%,53%,54%,60%
      Net self-employment income %,5%,1%,4%,4%,6%,2%,3%,1%,7%,6%,5%,8%,8%,5%,6%,7%,3%,3%,4%,6%,3%,2%,2%,2%,2%,2%
    Investment income %,7%,2%,9%,7%,5%,2%,7%,1%,12%,3%,4%,15%,13%,4%,5%,19%,5%,8%,8%,4%,3%,2%,5%,4%,2%,3%
    Private retirement income %,6%,5%,9%,7%,5%,5%,4%,3%,6%,3%,2%,6%,8%,4%,4%,7%,8%,8%,6%,6%,5%,6%,8%,5%,7%,7%
    Market income not included elsewhere %,3%,2%,3%,3%,3%,2%,3%,3%,4%,2%,2%,5%,3%,3%,2%,4%,3%,3%,3%,3%,3%,3%,3%,3%,2%,2%
  Government transfers %,20%,35%,19%,16%,15%,33%,26%,40%,15%,19%,10%,11%,12%,17%,15%,11%,25%,22%,19%,17%,27%,32%,31%,34%,33%,27%
    Canada Pension Plan (CPP) and QuÚbec Pension Plan (QPP) benefits %,4%,5%,4%,3%,3%,5%,5%,6%,3%,3%,1%,2%,2%,2%,3%,2%,5%,4%,4%,3%,4%,5%,7%,7%,6%,5%
    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS) %,3%,4%,4%,3%,2%,4%,3%,4%,3%,3%,1%,2%,3%,2%,2%,2%,4%,4%,3%,3%,4%,4%,4%,4%,4%,4%
    Employment Insurance (EI) benefits %,1%,2%,1%,1%,1%,2%,2%,3%,1%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%
    Child benefits $,3%,7%,2%,2%,1%,5%,4%,8%,2%,2%,1%,1%,1%,2%,2%,2%,4%,3%,2%,2%,5%,6%,4%,6%,7%,4%
    Other government transfers %,10%,17%,8%,7%,7%,16%,12%,20%,7%,10%,6%,5%,5%,10%,7%,5%,11%,10%,9%,8%,13%,15%,14%,16%,16%,12%
